Date,Open,High,Low,Close,Volume
27-01-2009,8117.39,8225.79,8083.14,8174.73,247684921
28-01-2009,8175.93,8405.87,8175.93,8375.45,358013171
29-01-2009,8373.06,8373.14,8137.94,8149.01,247373622
30-01-2009,8149.01,8195.76,7961.92,8000.86,303146652
02-02-2009,8000.62,8000.62,7867.37,7936.75,293961448
03-02-2009,7936.99,8111.57,7905.52,8078.36,313036489
04-02-2009,8070.32,8162.15,7929.26,7956.66,345615082
05-02-2009,7954.83,8107.83,7845.31,8063.07,390890561
06-02-2009,8056.38,8312.37,8052.24,8280.59,396478625
09-02-2009,8281.38,8315.07,8196.24,8270.87,289196188
10-02-2009,8269.36,8269.44,7848.74,7888.88,449822356
11-02-2009,7887.05,7983.74,7852.16,7939.53,270203722
12-02-2009,7931.97,7938.82,7693.98,7932.76,332015910
13-02-2009,7933,7970.84,7840.45,7850.41,251965884
17-02-2009,7845.63,7845.63,7551.01,7552.6,332822074
18-02-2009,7546.35,7617.76,7479.97,7555.63,268190865
19-02-2009,7555.23,7614.97,7447.55,7465.95,301461899
20-02-2009,7461.49,7469.29,7249.47,7365.67,584907104
23-02-2009,7365.99,7441.02,7105.94,7114.78,406217336
24-02-2009,7115.34,7378.97,7114.3,7350.94,468061986
25-02-2009,7349.58,7404.94,7156.68,7270.89,450223369
26-02-2009,7269.06,7402.31,7173.56,7182.08,321394776
27-02-2009,7180.97,7195.3,7033.62,7062.93,667859592
02-03-2009,7056.48,7058.95,6755.17,6763.29,568630493
03-03-2009,6764.81,6855.29,6705.63,6726.02,445273128
04-03-2009,6726.5,6979.22,6726.42,6875.84,464857771
05-03-2009,6874.01,6874.01,6544.1,6594.44,509730247
06-03-2009,6595.16,6755.17,6469.95,6626.94,425215074
09-03-2009,6625.74,6709.61,6516.86,6547.05,366062055
10-03-2009,6547.01,6926.49,6546.61,6926.49,639946072
11-03-2009,6923.13,7015.06,6867.55,6930.4,524342163
12-03-2009,6932.39,7184.71,6872.25,7170.06,488722872
13-03-2009,7167.35,7242.62,7105.86,7223.98,479100597
16-03-2009,7225.33,7392.91,7206.85,7216.97,586986411
17-03-2009,7218,7396.81,7172.05,7395.7,391960853
18-03-2009,7395.7,7571.64,7257.27,7486.58,584119224
19-03-2009,7489.68,7548.46,7369.26,7400.8,560007073
20-03-2009,7402.31,7460.93,7257.83,7278.38,672896707
23-03-2009,7279.25,7780.72,7278.78,7775.86,515502507
24-03-2009,7773.47,7796.57,7646.99,7660.21,379719134
25-03-2009,7659.81,7863.63,7550.06,7749.81,453990784
26-03-2009,7752.36,7930.69,7752.28,7924.56,397193146
27-03-2009,7922.57,7922.57,7735.95,7776.18,323648877
30-03-2009,7773.31,7773.39,7437.59,7522.02,383270411
31-03-2009,7523.77,7725.36,7523.45,7608.92,399812071
01-04-2009,7606.13,7789,7483.87,7761.6,361337863
02-04-2009,7763.99,8075.73,7763.99,7978.08,442848680
03-04-2009,7980.63,8018.7,7897.24,8017.59,308306078
06-04-2009,8016.16,8016.16,7862.2,7975.85,247442636
07-04-2009,7968.92,7969.08,7762.08,7789.56,276997815
08-04-2009,7788.68,7887.52,7750.85,7837.11,255317949
09-04-2009,7839.89,8087.28,7839.89,8083.38,462096900
13-04-2009,8082.02,8112.61,7963.75,8057.81,424223327
14-04-2009,8057.41,8057.41,7902.26,7920.18,512990823
15-04-2009,7914.92,8041.32,7870.48,8029.62,413310586
16-04-2009,8029.14,8168.12,7962.71,8125.43,359437018
17-04-2009,8125.43,8190.66,8086.88,8131.33,537731844
20-04-2009,8128.94,8128.94,7840.45,7841.73,453709859
21-04-2009,7841.73,7979.2,7791.95,7969.56,424100748
22-04-2009,7964.78,8044.83,7868.01,7886.57,387046373
23-04-2009,7886.81,7978.88,7804.21,7957.06,327171317
24-04-2009,7957.45,8127.5,7957.45,8076.29,402743617
27-04-2009,8073.82,8122.56,7987.16,8025,282908631
28-04-2009,8023.56,8091.66,7938.98,8016.95,274791233
29-04-2009,8018.31,8257.57,8017.91,8185.73,300292909
30-04-2009,8188.51,8307.51,8136.9,8168.12,341404776
01-05-2009,8167.41,8219.81,8099.31,8212.41,237376820
04-05-2009,8213.6,8434.86,8213.6,8426.74,354542757
05-05-2009,8425.55,8458.12,8362.78,8410.65,311398325
06-05-2009,8403.48,8518.33,8403,8512.28,454531881
07-05-2009,8513.56,8577.19,8358,8409.85,476729844
08-05-2009,8410.73,8587.23,8410.73,8574.65,428362886
11-05-2009,8569.23,8569.23,8410.33,8418.77,332640289
12-05-2009,8419.17,8517.46,8365.65,8469.11,334781019
13-05-2009,8461.8,8462.04,8262.43,8284.89,336988212
14-05-2009,8285.92,8376.64,8273.9,8331.32,323857131
15-05-2009,8326.22,8394.96,8230.17,8268.64,308898943
18-05-2009,8270.15,8511.88,8270.15,8504.08,288268104
19-05-2009,8502.48,8538.01,8463.54,8474.85,277679901
20-05-2009,8471.82,8591.93,8405.47,8422.04,468600628
21-05-2009,8416.07,8416.15,8221.01,8292.13,302220325
22-05-2009,8292.21,8364.14,8257.17,8277.32,244135230
26-05-2009,8275.33,8495.71,8226.9,8473.49,314824598
27-05-2009,8473.65,8496.59,8289.35,8300.02,286030449
28-05-2009,8300.5,8434.62,8246.58,8403.8,290713882
29-05-2009,8404.04,8522.95,8368.52,8500.33,362009702
01-06-2009,8501.53,8760.7,8501.29,8721.44,354891099
02-06-2009,8721.6,8787.13,8693.72,8740.87,257607200
03-06-2009,8740.07,8740.39,8598.38,8675.24,252183487
04-06-2009,8665.72,8751.25,8634.57,8750.24,237862148
05-06-2009,8751.75,8839.4,8700.41,8763.13,254973739
